Type,Operator,Registration
Learjet 24D,ManacÃ¡ TÃ¡xi AÃ©reo,PT-LEM
Boeing 737-4Q8,Turkish Airlines (THY),TC-JEP
de Havilland Canada DHC-6 Twin Otter 300,Aerotaca,HK-2760
McDonnell Douglas MD-11,Korean Air,HL-7373
de Havilland Canada DHC-6 Twin Otter 300,Vanair,YJ-RV9
de Havilland Canada DHC-4A,Military - Malaysian Air Force,M21-05
Let 410UVP-E,Malindi Air Services,5Y-LET
McDonnell Douglas MD-82,American Airlines,N215AA
Antonov 32,Military - Sudan Air Force,
Britten-Norman BN-2A-21 Islander,PacifiAirways,RP-C471
Eurocopter AS-350BA,Air Taxi - Coastal Helicopters Inc.,N6099S
Embraer 110P2 Bandeirante,Airlink,P2-ALX
de Havilland Canada DHC-3 Otter,Blue Water Aviation Services,C-FIFP
Beechcraft 99,Nightexpress,D-IBEX
Douglas DC-6A,LANC Colombia,HK-1776
Boeing 727-243F,Lufthansa Cargo Airlines,VT-LCI
Hawker Siddeley HS-125,Aero Jet Express,XA-TAL
Piper PA-32-R301 Saratoga II HP,Private,N9253N
Cessna 208B Grand Caravan,La Costena,YN-CED
Boeing B-747,All Nippon Airways,
de Havilland Canada DHC-7-102,Military - U.S. Army,N5382W
Embraer 110P1 Bandeirante,Air Fiji,DQ-AFN
Beech King Air 65-A90,Private,N518DM
Dornier 228-201,TACV-Cabo Verde Airlines,D4-CBC
Beechcraft 1900D,Regionnair,C-FLIH
McDonnell Douglas MD-11,China Airlines (Taiwan),B-150
McDonnell Douglas MD-90-30,Uni Air,B-17912
Yakovlev YAK-40,Uzbekistan Airways,UK-87848
Boeing B-737-204C,LAPA, Lineas Aereas Privadas Argentinas,LV-WRZ
Cessna 404 Titan II,Northern Air (Tanzania),5HNAT
Cessna 404 Titan Ambassador,Edinburgh Air Charter,G-ILGW
Piper PA-32-260,Air Taxi - New England Airlines,N4830S
Hawker Siddeley HS-748-501 Super 2B,Necon Air,9N-AEG
Dassault Falcon 900B,Greek Government,SX-ECH
Embraer 110 Bandeirante,Norte Jet TÃ¡xi AÃ©reo,PT-ODK
Lockheed C-130A Hercules,Military - Mexican Air Force,3610
Piper PA-31-350 Navajo Chieftain,Big Island Airlines,N411WL
Bell 214ST helicopter,Aramco Associated Company,N704H
Learjet 35A,Avioriprese Jet Executive,I-AVJG
Arava 201,Military - Venezuelan Army,EV-8012
Gates Learjet 35,Private charter,N47BA
Boeing B-767-366ER,EgyptAir,SU-GAP
Cessna U206F,Air Taxi - Stanley Air Taxi,N902CT
Shaanxi Yunshuji Y-8/Yunshuji Y-8,Military - People's Liberation Army,31242/31243
McDonnell Douglas DC-9-31,TAESA,XA-TKN
Aerospatiale Alenia ATR-42,Si Fly - U.N. charter,F-OHFV
Cessna 208 Caravan I,DHL Aviation Africa,5Y-RAN
Ilyushin 114T,Tashkent Aircraft Production Corporation,UK-91004
Piper PA-31-350,Charter - Flightline Charter Services,ZS-OJY
Cessna 207,Air Taxi - Grant Aviation Inc.,N1747U
Let 410UVP,Asian Spirit,RP-C-3883
Cessna 525 Citation,College of the Ozarks,N525KL
Piper PA-31-350,Charter - Twin Air HB,SE-GDN
Lockheed C-130H,Military - U.S. Air Force,63-7854
British Aerospace APT,SATA,CS-TGM
McDonnell Douglas DC-10-30,Cubana de Aviacon,F-GTDI
Learjet 35A,Bankair,N86BE
Cessna 208B Caravan I,Kivu Air Services,ZS-ONT
Boeing 747-2B5F,Korean Air,HL-7451
Airbus A300B2-101,Indian Airlines,VT-EDW
Yakovlev YAK-42D,Cubana de Aviacion,CU-T1285
de Havilland Canada DHC-6 Twin Otter,Skyline Airways,9N-AFL
Antonov 28,Ecuato Guineana de Aviacion,3C-JJI
Embraer 110P1A Bandeirante,Skypower Express Airways,5N-AXL
Saab 340B,Crossair,HB-AKK
Shorts 360-300,Avisto,HB-AAM
Let 410UVP-E,TACA,YS-09-C
Beechcraft King Air C90,Top Air - Air Taxi,
AirbusA310-304,Kenya Airways,5Y-BEN
Antonov AN-8,Military - Centrafricain Airlines,TL-ACM
GAF Nomad N-22C,Military - Philippine Air Force,N286
McDonnell Douglas MD-83,Alaska Airlines,N963AS
Lockheed C-130 Hercules,Military - IslamiRepubliof Iran Air Force,
Cessna U206G,Air Taxi - Iliamna, Air Taxi Inc.,N756HG
McDonnell Douglas DC-8-71F,Emery Worldwide,N8079U
Boeing B-737-3T5,Southwest Airlines,N668SW
Yakovlev YAK-40,Vologodskiye Airlines,RA-88170
Douglas C-47A-5-DK,Points North Air Services,C-FNTF
de Havilland Canada DHC-6 Twin Otter 300,Aeroperlas,HP-1267APP
CASA 212-DE Aviocar 200,Military - EjÃ©rcito del Aire,TM-12D-73
Antonov AN-12 (freighter),Sky Cabs,RA-11302
Antonov AN-32,Uralex,D2-MAJ
Cessna 208 Caravan,Taxval,LV-ZSR
Learjet 55,Universal Jet Aviation,N220JC
Boeing B-737-2H4,Air Philippines,RP-C3010
Britten-Norman BN-2A-20 Islander,North Coast Aviation,P2-ISA
Learjet 35A,Northern Executive Aviation,G-MURI
Britten-Norman BN-2A-9 Islander,Trans Guyana Airways,8R-GAC
Rockwell Sabreliner 65,Price Aircraft Company,N241H
Beechcraft 1900C-1,Avirex,TR-LFK
BAe Jetstream 3101-31,Executive Airlines,N16EJ
Airbus A.330-301,Philippine Air Lines,F-OHZN
Shorts 330-200,Streamline,G-SSWN
Piper PA-31-350 Navajo,Whyalla Airlines,VH-MZK
Fokker F-27 Friendship 600,Ghana Airlink,G-524
Piper PA-31-350 Navajo,ANT Air Taxi,G-BMBC
Beech Baron,Air taxi - Jao Air Taxi,PT-LGL
Xian Yunshuji Y-7-100C,Wuhan Airlines,B-3479
Kawasaki C-1A,Military - Japanese Air Self-Defence Force,88-1027
British Aerospace  BAe Jetstream 32EP,Aerocaribe,N912FJ
Curtiss C-46A-60-CS,CORAL Colombia,HK-851P
de Havilland Canada DHC-6 Twin Otter 200,Win Win Aviation,N201RH
Boeing B-737-2A8 Advanced,Indian Airlines/Alliance Airlines,VT-EGD
Grumman G-159 Gulfstream I,Airwave Transport,C-GNAK
Douglas C-47A-10-DK,Allied Air Freight,N54AA
Aerospatiale AS355-F1,Blue Hawaiian Helicopters,N510TG
Aerospatiale BAe Concorde 101,Air France,F-BTSC
Lockheed C-130H Hercules,Military - Royal Jordanian Air Force,348
de Havilland Canada DHC-6 Twin Otter 300,Royal Nepal Airlines,9N-ABP
Sikorsky S-76,Air taxi - Lider Air Taxi,PT-HRD
Casa 212-AB10 Aviocar,Military - Fuerza AÃ©rea de Chile,230
Piper Navajo PA-31/ Piper Seminole PA-44,Patuxent Airways / Private,N27944 / N2225G
Antonov AN-26B,Staer Air,
Cessna 208 Caravan I,RCMP-GRC Air Services,C-GMPB
Piper PA-31-350,Air Taxi,N801MW
Airbus A320-212,Gulf Air,A4O-EK
Piper PA-31-350 Navajo Chieftain,Big Island Airlines,N923BA
Cessna 208B Grand Caravan I,SANSA,HP-1357AAP
Douglas C-47,Military - Fuerza AÃ©rea Colombiana,FAC1659
Beechcraft SKA 200,Charter - Central Air,VH-SKC
Mil Mi-17,Military - Sri Lanka Air Force,
Piper PA-31-350 Navajo,Cape Smythe Air Service,N220CS
McDonnell Douglas DC-9-31,Aeromexico,N936ML
Cessna 206,Servicio Aereo Manchupo,CP-1721
Shorts SC.7 Skyvan 3-100,Summit Air Charters,C-FSDZ
Cessna 208B Caravan I Super Cargomaster,Empire Airlines,N941FE
Canadair CL-600-2B16 Challenger 604,Bombardier Aerospace,C-FTBZ
Cessna 335,Private,N8354N
Harbin Yunshuji Y-12-II,Lao Aviation,RDPL-34130
Ilyushin IL-18D,Military - Russian Air Force,RA-74295
Boeing B-747-412,Singapore Airlines,9V-SPK
Antonov AN-26,Aca-Ancargo,D2-FDI
Antonov 32B,Malu Aviation,ER-AFA
Swearingen SA.226TC Metro II,Superior Aviation,N731AC
Antonov AN-26,Asa Pesada,D2-FCG
Airbus A300-600R,American Airlines,N14056
Aerospatiale SN-601 Corvette,Mayoral Executive Jet,EC-DQG
Beech A90 King Air,Skydive Salt Lake - Charter,N616F
Douglas C-47A-30-DK (DC-3C),MajestiAir Cargo,N19454
Douglas DC-3C (C47A-DL),Rutaca Airlines,YV-224C
Beech King Air 200 Catpass,North Bay Charter,N81PF
Sud Aviation SE-210 Caravelle 10R,Lineas Aereas Suramericanas,HK-3932X
Swearingen SA.227AT Merlin IVC,Northern Illinois Flight Center,N318DH
Learjet 35A,E.A.S. Aeroservizi,I-MOCO
GAF Nomad N24A,Gum Air Charter,PZ-TBP
Shorts 360-100,Loganair,G-BNMT
Beech BE-55,Air taxi - Cuiaba Air Taxi,PT-OET
Boeing B-737-4D7,Thai Airways,HS-TDC
Short 360,Military - Florida Army National Guard,93-1336
Tupolev 154M,Vnukovo Airlines,RA-85619
Beechcraft 1900C,Sociedade de Aviacao Ligeira Charter,S9-CAE
de Havilland Canada DHC-6 Twin Otter,Air Caraibes,F-OGES
Fokker F-27 Friendship 500F,Merpati Nusantara Airlines,PK-MFL
Grummand Gulfstream III,Jetwingsco Inc. - Private Charter,N303GA
Cessna 501 Citation I/SP,Jet Wings,N405PC
Antonov AN-24,Military - Sudan Air Force,
Mil Mi-18 Helicopter,SFC Vietnam - Charter - Full Account,VN-8415
Cessna  208B Grand Caravan,Private - Techint  group,LV-WSC
CASA CN-235M-10,Military - Turkish Air Force,
Fokker F-27 Friendship 400M,Fuerza AÃ©rea Argentina,TC-76
Yakovlev YAK-40,Faraz Qeshm Airlines,EP-TQP
Antonov 12MGA,Military - Russian Air Force,RA-12135
Transall C-160NG,Manunggal Air,PK-VTP
Tupolev TU-154M,Vladivostokavia,RA-85845
Sikorsky S-76B helicopter,Private  - Daewoo Shipbuilding,HL9240
Antonov AN-28 PZL-MieleM-28 Sky Truck,Private - OverteCompany,YV-117CP
Ilyushin IL-76,Russ Air Transport Company,RA-76588
Piper PA-32-300,Air Taxi,N39586
Dassault Falcon 20C,Naske Air,D-CBNA
Aerospatiale AS350 Eurocopter  helicoper,Papillon Grand Canyon Helicopters of Las Vegas,N169PA
Antonov 28,Victoria Airlines,3C-LLA
Airbus A-330-243,Canadian Air Transat,C-GITS
Learjet 25,Ameristar Jet Charter,N153TW
Cessna 402B,Blackhawk Int. Airways  - Private charter,N8097W
CASA  CN-235-200,Binter MediterrÃ¡neo,EC-FBC
Boeing B-757-222,United Air Lines,N591UA
Boeing B-757-223,American Airlines,N644AA
Boeing 767-223ER,American Airlines,N334AA
Boeing B-767-222,United Air Lines,N612UA
LET 410UVP,Aero Ferinco Charter,XA-ACM
Fokker 100,TAM (Brazil),PT-MRN
LET 410UVP-E,AtlantiAirlines,TG-CPE
Cessna 172N,Aeronautical Services - Air Taxi,N733SW
Tupolev Tu-154M,Sibir Airlines,RA-85693
MD-87 / Cessna 525A Citation II,Scandinavian Airlines (SAS) / Private,SE-DMA / D-IEVX
de Havilland DHC-2 Mk 1 Beaver,Air Saint Maurice Inc.,C-GPUO
Cessna 208 Caravan,PenAir,N9530F
Swearingen SA-226AT Merlin IV,Flightline,EC-GDV
Swearingen SA.226TC Metro I,Perimeter Airlines,C-GYPA
EMB 810C Seneca,Air Taxi - Continental Air Taxi,PT-EVF
Bell 206L,ERA Aviation - Air Taxi,N400EH
Airbus A-300-605R,American Airlines,N14053
Ilyushin 18V,Charter - IRS Aero,RA-75840
Learjet 25B,Universal Jet Aviation,N5UJ
Antonov AN-28,ELK Aviation Co. (leased from Eminex),ES-NOV
BAE Avro RJ100,Crossair,HB-IXM
Boeing 747-246F,MK Airlines,9G-MKI
Cessna 208B Grand Caravan,SANSA,HP-1405APP
Ilyushin IL- 76TD,Military - Russian, cargo,RA-76839
Cessna 208B Grand Caravan,Air Carriers,N499BA
Learjet 24D,Air Cargo Express,N997TD
Let 410A,Eagle Air,5X-CNF
Let 410UVP-E,Heliandes,HK-4175X
Cessna 560 Citation V,Eagle Air,HB-VLV
Britten Norman BN-2B Trislander,BAL Bremerhaven Airline,D-IAAI
Piper PA-31-250,Air Taxi - Air Taxi Inc.,N3525Y
Canadair CL-604,Agco Corp,N90AG
Lockheed Hercules KC-130R,Military - U.S. Air Force,160021
Embraer EMB-120 Brasilia,Ibertrans AÃ©rea,EC-GTJ
de Havilland DHC-6 Twin Otter 300,ProcuradurÃ­a General de la RepÃºblica,XC-FIT
Boeing B-737-3Q8,Garuda Indonesia Airlines,PK-GWA
Fairchild FH-227E,PetroproducciÃ³n,HC-AYM
Cessna 207 Skywagon,Air Fiordland,ZK-SEV
Antonov AN-12,Military - Angolan  Air Force,T-304
Boeing B-727-134,TAME,HC-BLF
Learjet C-21A,Military - U.S. Air Force,84-0097
Tupolev TU-154,Iran Air Tours,EP-MBS
Antonov 12BP,Tiramavia,ER-ADL
Antonov AN-26,Military - Russian Navy,07RED
MH-47 Chinook helicopter,Military - U.S. Army,92-0471
Antonov 2TP,Svedijos PrekÃ©s,LY-AVD
Antonov AN-2,Charter - Aerotaxi,CU-T1020
Cessna 208B Caravan I Super Cargomaster,Priorty Air Charter,N228PA
Let 410UVP-E,Djibouti Airlines,J2-KBC
Shrike Commander 500S,Air Taxi,VH-UJB
Swearingen SA.227AC Metro III,Tadair,EC-GKR
Boeing B-767-200ER,Air China,B-2552
Cessna U206A,Air taxi,VH-XGR
Antonov AN-32A,SELVA Colombia,HK-4171X
Cessna 206G,Private,N7344N
Mi-8 helicopter,Private,
BAC One-Eleven 525FT,EAS Airlines (Executive Airline Services),5N-ESF
Boeing B-737-566,EgyptAir,SU-GBI
McDonnell Douglas MD-82,China Northern Airlines,B-2138
LET 410UVP,Sky Executive Air Services,9Q-CEX
Boeing B-747-209B,China Airlines (Taiwan),B-18255
de Havilland Canada DHC-6 Twin Otter 300,Trigana Air Service,PK-YPZ
Hawker Siddeley HS-748-372,Airquarius Aviation - Charter,ZS-OJU
Mi-17,Military - Angolan Armed Forces,
Embraer 721C Sertanejo,Marco Zero Air Taxi,PT-EPH
PA- 31-350 Chieftain,Keystone Air Services Ltd. - Air Taxi,C-GPOW
Lockheed MC-130H Hercules,Military - U.S. Air Force,84-0475
Tupolev TU-154M / Boeing B-757-23APF,Bashkirian Airlines / DHL Worldwide Express,RA85816/A9C-DHL
Cessna 310,Private,N8145M
Boeing B-707-123B,Prestige Airlines (Cargo) Charter,9XR-IS
de Havilland DHC-2,Air Taxi - Bigfoot Air of Alaska, LLC,N3129F
Britten-Norman BN-2A Islander,Sabang Merauke Raya Air Charter,PK-TAR
Sikorsky S-76A,Bristow Helicopters,G-BJVX
de Havilland Canada DHC-6 Twin Otter 300,Skyline Airways,9N-AGF
Sukhoi Su-27,Military - Ukraine Air Force,42
Iluyshin Il-86,Pulkovo Aviation Enterprise,RA-86060
Lockheed MC-130H Hercules,Military - U.S. Air Force,90-0161
Yunshuji Y-8D,Military - Sri Lanka Air Force,CR-873
Mil Mi-26,Military - Russian Air Force,89RED
de Havilland Canada DHC-6-300 Twin Otter,Shangri La Air,9N-AFR
Antonov AN-28,Vostok Aviakompania,RA-28932
Learjet 25C,Care Flight International,N45CP
Embraer 120ER Brasilia,Rico Taxi AÃ©reo,PT-WRQ
Cessna 650 Citation VI,CAAC Air TraffiManagement Bureau,B-7023
PA-34-220T Seneca III,Airco Charters - Air Taxi,C-FRKZ
Cessna U206G,Aero Pantanal - Air Taxi,OB-1226
ATR 42-300,Total  Air Lines,PT-MTS
de Havilland Canada DHC-3 Otter,Deraps Aviation,C-FLGA
Ilyushin IL-38 / Ilyushin IL-38,Military - Indian Navy,IN302 / IN304
Learjet 60,American Virginia,N5027Q
Cessna 208B Cargomaster I,Mid-AtlantiFreight,N76U
Beechcraft King Air A100,Aviation Charter - Air Taxi,N41BE
Fokker 50,Luxair,LX-LGB
Britten-Norman BN-2A-21,Dirgantara Air Services,PK-VIZ
IAI 1124A Westwind,Richmor Aviation,N61RS
Fokker F27 Friendship 100,Laoag International Airlines,RP-C6888
Let 410UVP-E20,Eagle Aviation,5Y-ONT
Beechcraft 1900C,Raytheon Aircraft,N127YV
Britten-Norman BN-2A-26 Islander,Island Airways Ltd.,P2-CBB
UH-60 Black Hawk / UH-60 Black Hawk,Military - U.S. Army, / 
Cessna 208B Caravan I Super Cargomaster,Planemasters,N277PM
AÃ©rospatiale/Aeritalia ATR-72-202,Transasia Airways,B-22708
Antonov AN-140,Aeromist-Kharkiv,UR-14003
Cessna 208B Caravan I,Telford Aviation,N1122Y
Embraer-110 C-95B Bandeirante,Military - Brazilian Air Force,FAB-2292
Let 410UVP,Ocean Airlines,9XR-RB
BAe Avro RJ-100,Turkish Airlines (THY),TC-THG
Beech BE-1900D,US Air Express/Air Midwest,N233YV
Fokker 28 Fellowship 1000,TANS Airlines,OB-1396
Antonov 24B,Aerocom,ER-AFT
Grumman G-159 Gulfstream I,African Commuter Services,5Y-EMJ
Ilyushin II-76TD,Euro Asia Aviation,RDPL-34141
Antonov 12BP,Volare Aviation Enterprise,UR-LIP
Antonov AN-28,Enimex,ES-NOY
Cessna 421,Air Taxi - Great Northern Aircraft Co.,N421TJ
Ilyushin Il-76MD,Military - IslamiRevolution's Guards Corps,15-22
Fokker F-27 Friendship 200,Military - Pakistan Air Force,10254
Let L-410UVP,Private - Kabanov - skydiving,FLARF-01032
Boeing B-737-2T4,Air Algerie,7T-VEZ
de Havilland Canada DHC-6 Twin Otter,PT Air Regional,PK-WAY
Beech A36,Morris Hancock Flying Club - Charter,N1636W
Illyushin 76,Ukrainian Cargo Airlines -  Congolese Army Charter,UR-UCB
Yakovlev 42D,Ukranian-Mediterranean Airlines,UR-42352
Cessna 185,McKinley Air Service - Air Taxi,N70176
Gates Learjet 45,Eurojet Italila,I-ERJC
EMB 721C Sertanejo,Air Taxi - Marco Zero Air Taxi,PT-EPH
Piper PA-31-350 Navajo Chieftain,Charter - Air Adventures New Zealand Ltd,ZK-NCA
Embraer 820C Navajo,Astro Air Taxi,PT-EHH
McDonnell Douglas 369D,Paradise Tour Helicopters,N4493M
Canadair CRJ-100ER,Brit Air,F-GRJS
Lockheed C-130 Hercules,Military - IslamiRepubliof Iran Air Force,
Cessna 180H,Hallo Bay Air - Air Taxi,N91303
Cessna 208B Grand Caravan,ComvaAviation,V5-CAS
Lockheed C-130H Hercules,Military - Algerian Air Force,7T-WHQ
Mitsubishi MU 2B 35,Heringer Air Taxi,PT-LFX
Sikorsky  S 76 A,BHS - Brazilian Helicopter Services,PT-YVM
Boeing 737-2J8C,Sudan Airways,ST-AFK
Cessna 402C,Air Sunshine,N314AB
Let 410UVP-E,Ruiban & Duran Compania AÃ©rea,YV-1060CP
Swearingen SA-226T Metro II,Ryan Blake Air Charter,ZS-OYI
Bell 206B,Jack Harter Helicopters,N37741
Gates Learjet 35A,Jet Pro,N135PT
Cessna 208B Grand Caravan,Servicios Aeronauticos Sucre (SASCA),YV-1069C
Mi-8 helicopter,Khalatyrka,
Let 420UVP-E,Tropical Airways,HH-TAD
Beechcraft 1900D,US Airways Express,N240CJ
Cessna 208B Grand Caravan,Wasaya Airways,C-FKAB
Learjet 25B,Ameristar Jet Charter,N666TW
Lockheed C-130A Hercules,Military - Mexican Air Force,3603
Aerospatiale AS350BA,Sundance Helicopters,N270SH
Piper PA31-310,Les Ailes de GaspÃ© Inc.,C-FARL
EMB 721C Sertanejo,Air taxi - Rumo Notre Air Taxi,PT-EBK
Convair CV-580F,Air Freight New Zealand,ZK-KFU
Antonov AN-2TP,Transmandu,YV-1128C
Fairchild Hiller FH-227B,CATA Linea Aerea,LV-MGV
Hawker 800A,Aeroextra,XA-ISH
Cessna 208B Caravan I Super Cargomaster,FedEx,N791FE
CH-47 Chinook,Military - U.S. Army,
Shorts SC-7 Skyvan 3M Variant 100,Trans Guyana Airways,8R-GMC
Robertson R44 helicopter,Heliwork WA Pty Ltd. - Air Taxi,VH-YKL
Swearingen SA227AT Merlin IVC,Ameriflight,N439AF
Antonov AN-26,Military - Congolese Air Force,9T-TAD
de Havilland DHC-3 Otter,Huron Air,C-GOFF
Douglas DC-9-15F,LÃ­neas AÃ©reas Suramericanas,HK-4246X
Gates Learjet 24B,Pavair,N600XJ
Boeing B-727-223,Union des Transports Aeriens de Guinee,3X-GDO
Boeing B-737-3Q8,Flash Air,SU-ZCF
Yakovlev YAK-40,Uzbekistan Airways,UK-87985
Cessna 208B Grand Caravan,Georgia Express,C-FAGA
Beechcraft 1900D,Tassili Airlines,7T-VIN
Beechcraft Super King Air 200,Military - Government of Macedonia,Z3-BAB
Fokker F-50,Kish Airlines,EP-LCA
Cessna Citation 500,City-Jet,OE-FAN
Cessna 172G,Air taxi,VH-RPI
Ilyushin II-76,Azov Avia Airlines,UR-ZVA
Cessna UC-35D Citation Encore,Military - United States Marine Corps,165938
Convair CV-440,Dodita Air Cargo,N4826C
Beechcraft 1900C,Military - United States Air Force,N27RA
Piper PA-32-300,Air Taxi,VH-MAR
Bell 407,Air Ambulance - Med-Trans Corp.,N502MT
Rockwell Gulfstream Jetprop 840,Procuradoria General de la Republica,XC-JEH
Cessna 208 Grand Caravan I,Venezuelian Government,YV-O-CBL-7
Swearingen SA227AC Metro III,Aerotransportes Petroleros,HK-4275
Let 410UVP,Charter - Air Cush,9XR-DC
Antonov AN-12,El Magal Aviation,ST-SIG
Embraer 120ER Brasilia,Rico Linhas Aereas,PT-WRO
PZL-MieleAN-2R,Aray-Avia,UN-70276
Ilyushin II-76TD,AZAL Cargo Company,4K-AZ27
Let 410UVP,Blue Bird Aviation,5Y-VVD
de Havilland DHC-6 Twin Otter 300,Yeti Airlines,9N-AFD
BAe HS-748-232 Srs 2A,Gabon Express,TR-LFW
EMB 820C Navajo,Air taxi - Aero Air Taxi,PT-EHH
Mi-8MTV-1,United Nations -  UTair Charter,RA-27113
IAI 1124 Westwind,Air Trek,N280AT
Piper PA-31-350 Navajo Chieftain,Capital Airlines Inc.,N45032
Sikorsky S 76,BHS - Brazilian Helicopter Service  Air Taxi,PP-MYM
de Havilland DHC-6 Twin Otter 300,Airlines of PNG,P2-MBA
Convair CV-580,Air Taroma,N586P
Beechcraft 99,Alpine Air Express,N199GL
Cessna 208B Grand Caravan,Transworld Safaris,5Y-TWH
Shorts 360,Military - Venezuelan Air Force,FAV-1652
Tupolev 154B-2,Sibir Airlines,RA-85556
Tupolev 134A-3,Volga-Avia Express,RA-65080
de Havilland DHC-3 Otter,Mavrik Aire Transport,N197TT
Rockwell CT-39A Sabreliner,Jett Paqueteria SA,XA-TFD
CH-47D Chinook,Military - Greek Army,
Pilatus-Britten Norman BN-2A-27 Islander,Air Flamence,N902GD
Antonov AN-12,Sarit Airlines,ST-SAF
Grumman Gulfstream G3,Business Jet Services,N85VT
CASA 212-CC,Presidental Airways Inc. - Air Taxi,N960BW
Canadair CRJ200LR RegionalJet,Pinnacle Airlines/Northwest Airlink,N8396A
Boeing 747-244B-SF,MK Airlines,9G-MKJ
Douglas DC-3C,Aerovanguardia,HK-1503
Pilatus Britten-Norman BN-2A-21 Islander,PacifiAir,RP-C1325
Bae Jetstream 3201,Corporate Airlines (American Connection),N875JX
Beech 200 Super King Air,Private - Hendrick Motorsports Inc.,N501RH
Learjet 35A,Med Flight Air Ambulance - Private,N30DK
BAe 3101 Jetstream 31,Venezolana,YV-1083C
Bambardier CRJ200,China Eastern Airlines,B-3072
Canadair CL-601-2A12 Challenger,Glow Air/Air Castle - Charter,N873G
McDonnell-Douglas MD-82,Lion Air,PK-LMN
HBB HFB-320 Hansa Jet,Grand Aire,N604GA
Cesna 208 Caravan,Salmon Air - Air Taxi,N25SA
Cessna TU206G,SAVIARE S.A. - Air Taxi,HK-2882
PZL-MieleM28,Guardia Nacional de Venezuela,GN-97121
Embraer EMB-110 Bandeirante,NHR TÃ¡xi-AÃ©reo,PT-WAK
Ilyushin II-76TD,Airline Transport,ER-IBW
Black Hawk helicopter,Military - Colombian government,
Antonov AN-2,Tura Air Enterprise,RA-62597
Embraer EMB-110 Bandeirante,AirNow,N49BA
CH53E Sea Stallion,Military - U.S. Marines,
Let 410UVP-E4,Farnair Hungary,HA-LAR
Lockheed Hercules C.1,Military - Royal Air Force,XV179
Boeing B-737-200,Kam Air,EX-037
Ilyushin 76TD,Air West,ST-EWB
Cessna P210N,Action Air Express Inc. - Air Taxi,N432AR
Cessna 560 Citation V,Circuit City Stores - Charter,N500AT
de Havilland DHC-6 Twin Otter 300,Missionary Aviation Fellowship,P2-MFQ
CASA 212 Aviocar,Indonesian National Police,
Cessna 500 Citation I,Air Global,YV-21CP
Pilatus-Britten Norman BN-2B-26 Islander,Loganair,G-BOMG
Antonov 24,Regional Airlines,RA-46489
Ilyushin IL-76TD,Air Transport,ER-IBR
Let-410UVP-E,West Caribbean Airways,HK-4146
Lockheed Hercules MC-130H,Military - U.S. Air Force,87-0127
de Havilland Canada DHC-6 Twin Otter 100,GT Air,PK-LTZ
Boeing B-707-3J9C,Saha Airline Services,EP-SHE
Let 410UVP,Military - Fuerza Del Peru,EP-830
Swearingen SA227AC Metro III,Airwork,ZK-POA
Antonov AN-26,Kisangani Airlift,EK-26060
Swearingen SA-227AC Metro III,Aero-Tropics,VH-TFU
Beech 65-A80 Queenaire,Transportes Aereos Don Carlos - Charter,CC-CFS
Yunshuji Y-12,Military - Zambia Air Force,AF-216
Antonov AN-12BP,Charter - Maniema Union (owner Victoria Air),9Q-CVG
